dt,k,errornorm,norm
900.0,0,26395.007230947595,1513718951.4255435
900.0,2,30179.31429561991,1513718951.4255435
400.0,0,2313.434371594588,1513718951.4255435
400.0,2,2645.2829878728257,1513718951.4255435
300.0,0,975.7375205048908,1513718951.4255435
300.0,2,1115.6098568128714,1513718951.4255435
